What is your gender?,What is your age?,I write with:,Calculate: 19 - 12 = ,Calculate: 37 - 36 = ,A runner who completed a marathon in extremely hot weather is likely to be tired. To what extent do you agree with this statement? ,A student who failed a very important exam is likely to be upset. To what extent do you agree with this statement? ,A person who has been diagnosed with cancer is likely to feel glad. To what extent do you agree with this statement? ,I often think about my mobile phone when I am not using it. To what extent do you agree with this statement? ,I often use my mobile phone for no particular reason. To what extent do you agree with this statement? ,Arguments have arisen with others because of my mobile phone use. To what extent do you agree with this statement? ,I interrupt whatever else I am doing when I am contacted on my mobile phone. To what extent do you agree with this statement? ,I feel connected to others when I use my mobile phone. To what extent do you agree with this statement? ,I lose track of how much I am using my mobile phone. To what extent do you agree with this statement? ,The thought of being without my mobile phone makes me feel distressed. To what extent do you agree with this statement? ,I have been unable to reduce my mobile phone use. To what extent do you agree with this statement? ,I often ponder my mobile phone even when it's not in my hands. To what extent do you agree with this statement? ,I use my mobile phone quite often without any particular intent. To what extent do you agree with this statement? ,My engagement with my mobile phone has caused disagreements with others. To what extent do you agree with this statement? ,I stop whatever I am doing when my mobile phone rings or receives a notification. To what extent do you agree with this statement? ,Using my mobile phone makes me feel connected to others. To what extent do you agree with this statement? ,Keeping track of my mobile phone usage is something I struggle with. To what extent do you agree with this statement? ,Not having my mobile phone makes me feel uneasy. To what extent do you agree with this statement? ,I have been unable to limit my mobile phone usage. To what extent do you agree with this statement? 
Male,34,rigth hand,7,1,6,6,5,5,5,5,4,5,4,4,4,6,4,5,4,4,4,4,5
Male,42,left hand,7,1,3,6,5,4,7,3,7,7,6,7,5,6,4,5,6,6,7,5,7
Male,25,rigth hand,7,1,6,5,6,4,4,6,5,6,7,5,7,5,6,6,6,6,6,5,4
Male,32,rigth hand,5,6,5,5,4,6,4,5,3,4,5,3,5,3,3,6,4,4,3,5,6
Female,38,rigth hand,7,1,5,6,6,5,7,4,4,4,4,5,5,5,6,5,6,5,4,4,6
Male,25,rigth hand,7,1,7,7,1,5,4,5,5,6,4,4,6,6,5,3,6,7,6,4,5
Male,61,rigth hand,7,4,6,4,5,5,6,5,5,6,5,5,4,6,6,5,6,4,4,5,5
Male,25,rigth hand,7,1,6,5,4,6,4,7,6,6,5,7,4,5,4,4,7,6,5,6,6
Male,25,rigth hand,7,1,7,1,6,3,3,7,7,3,4,6,5,5,4,6,4,5,4,6,4
Male,38,rigth hand,7,1,7,7,1,2,3,1,2,3,3,2,2,3,3,2,3,4,3,2,1
Male,25,rigth hand,7,1,6,7,1,5,7,5,5,4,4,5,7,5,7,6,5,4,4,7,6
Male,25,rigth hand,7,1,7,7,1,6,3,7,4,4,5,6,5,6,5,6,5,4,5,5,4
Male,23,rigth hand,7,1,7,5,1,2,7,5,5,5,4,4,2,6,6,3,4,6,4,6,6
Female,39,rigth hand,7,1,5,7,1,6,6,6,6,6,6,5,6,7,5,5,6,6,6,6,6
Female,30,rigth hand,7,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Male,25,rigth hand,7,1,2,5,1,3,3,5,5,6,3,3,2,2,5,3,4,4,3,3,2
Male,25,rigth hand,7,1,5,7,4,4,4,6,7,6,6,5,6,6,5,7,7,6,6,4,4
Female,25,rigth hand,7,1,6,4,5,4,5,4,5,6,5,5,6,4,6,4,4,5,5,5,6
Male,29,rigth hand,7,1,7,3,5,5,7,6,4,6,5,3,3,4,4,7,3,6,5,5,5
Male,25,rigth hand,7,1,6,7,1,5,7,6,6,4,4,5,7,6,7,5,5,4,4,7,7
Male,33,rigth hand,7,1,6,6,5,5,5,5,5,5,4,4,6,5,6,5,5,6,6,6,4
Male,40,rigth hand,7,1,5,4,3,4,4,5,3,5,3,5,5,4,3,6,5,4,3,3,5
Female,42,rigth hand,7,1,7,7,1,1,1,1,4,1,4,1,4,1,4,4,1,5,4,1,1
Female,25,rigth hand,7,1,6,2,5,7,3,6,4,7,4,2,4,4,6,6,5,6,3,3,5
Male,25,rigth hand,7,1,6,7,1,5,7,6,4,4,4,5,6,5,7,6,5,4,4,7,6
Female,25,rigth hand,7,1,4,4,3,4,5,5,5,4,4,5,4,4,5,3,4,3,4,4,5
Male,36,rigth hand,7,1,6,5,6,4,5,5,4,6,4,4,6,4,5,6,6,6,6,4,5
Male,36,rigth hand,7,1,5,7,6,7,7,6,7,6,6,5,6,5,4,4,5,6,4,7,6
Female,30,rigth hand,7,1,6,6,7,4,5,2,3,7,4,3,3,2,5,2,5,5,3,5,4
Male,33,rigth hand,7,1,4,5,5,5,6,5,5,5,5,5,6,6,5,5,3,6,6,5,4
Male,25,rigth hand,7,1,7,4,6,6,7,7,6,7,5,6,5,6,4,7,4,6,5,5,3
Female,34,rigth hand,7,1,5,7,1,5,5,4,3,6,4,7,4,2,7,4,4,6,2,7,6
Female,25,rigth hand,7,1,6,5,6,6,6,5,5,6,5,5,5,6,6,5,6,6,5,6,6
Male,25,rigth hand,7,1,7,6,5,4,7,5,5,7,6,4,4,6,6,5,6,4,6,5,6
Male,39,rigth hand,7,1,7,7,6,7,6,6,5,5,7,4,6,7,7,7,7,7,7,4,7
Male,46,rigth hand,7,1,7,7,6,6,7,6,6,7,6,7,7,6,5,5,7,7,6,5,6
Male,25,rigth hand,7,1,5,6,6,6,6,6,5,6,6,5,6,6,5,6,5,6,6,5,5
Male,33,rigth hand,7,1,5,6,5,6,6,6,5,6,6,5,6,4,5,5,3,6,6,5,6
Male,34,rigth hand,7,1,7,6,6,5,6,6,6,3,6,5,6,6,6,6,6,6,6,6,5
Male,28,rigth hand,7,1,7,7,1,4,6,1,6,7,7,6,7,6,5,3,7,7,4,5,5
Male,26,rigth hand,7,1,5,1,5,5,7,4,5,6,7,4,1,6,7,2,6,7,3,2,6
Male,33,rigth hand,7,1,5,6,5,6,6,5,6,5,6,5,5,6,6,6,5,6,6,5,5
Female,36,rigth hand,7,1,6,7,7,6,6,6,5,7,6,6,6,6,6,6,6,7,5,6,6
Male,35,rigth hand,7,1,5,6,5,5,5,5,6,5,6,6,5,5,6,6,5,6,4,6,5
Female,36,rigth hand,7,1,7,5,3,7,5,7,3,5,6,6,6,4,5,4,4,5,6,3,7
Female,29,rigth hand,7,1,7,7,1,5,7,6,5,5,6,6,5,6,6,6,7,6,5,6,7
Female,26,rigth hand,7,1,4,6,4,5,4,4,5,6,5,5,5,4,5,6,6,5,5,6,6
Female,25,rigth hand,7,1,4,5,5,5,4,4,4,3,4,4,5,5,5,4,5,4,5,6,5
Male,35,left hand,7,1,7,6,6,7,7,7,7,6,7,6,6,7,6,7,7,6,7,6,6
Male,33,rigth hand,7,1,5,4,5,5,5,4,5,5,6,7,5,6,6,6,6,4,4,5,6
Male,33,rigth hand,7,1,4,4,4,4,5,5,5,5,6,5,5,6,4,5,5,6,5,5,6
Female,37,rigth hand,7,1,7,6,6,7,7,6,6,6,6,6,7,7,7,7,7,6,6,7,6
Female,25,rigth hand,7,1,5,6,1,6,6,2,4,6,4,6,5,5,6,2,3,7,4,6,5
Male,33,rigth hand,7,1,6,5,4,6,5,5,5,5,5,5,7,4,4,4,5,5,6,4,5
Female,28,rigth hand,7,1,6,7,6,6,6,7,6,7,7,6,6,7,6,7,6,7,6,7,6
Female,32,rigth hand,7,1,4,7,4,5,5,2,2,7,3,2,2,5,4,2,5,7,2,6,2
Female,30,rigth hand,7,1,5,6,6,5,5,6,6,6,6,6,5,5,6,6,5,6,6,6,6
Male,31,rigth hand,7,1,6,6,6,6,6,6,5,6,6,4,5,6,7,6,6,6,5,6,6
Female,27,rigth hand,7,1,6,5,4,6,4,5,5,5,4,5,4,6,6,4,5,6,5,5,5
Female,26,rigth hand,7,1,7,7,1,6,6,4,5,6,6,6,7,6,7,5,5,7,3,7,7
Male,33,rigth hand,7,1,7,7,1,4,5,4,6,6,4,7,6,5,4,5,5,6,4,5,6
Female,29,rigth hand,7,1,7,7,1,7,6,6,5,3,6,6,6,6,6,5,7,5,6,7,6
Male,25,rigth hand,7,1,6,6,4,5,6,3,3,7,5,5,4,6,5,6,5,7,2,5,5
Male,29,left hand,5,1,5,7,1,5,3,4,5,5,4,6,4,5,4,3,4,5,4,4,5
Female,25,rigth hand,7,1,3,5,4,4,6,6,7,4,4,5,5,5,6,4,3,4,4,3,6
Male,33,rigth hand,7,1,5,4,4,4,5,5,4,4,5,5,4,5,4,5,5,4,4,5,5
Male,32,rigth hand,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Female,24,rigth hand,7,1,7,5,6,7,5,7,7,7,6,6,7,7,6,6,5,6,7,6,7
Male,33,rigth hand,7,1,5,4,5,5,5,5,6,4,4,6,4,4,6,5,4,5,6,6,5
Male,33,rigth hand,7,1,6,6,7,6,6,7,6,6,7,6,7,6,6,6,7,7,7,7,6
Female,35,rigth hand,7,1,6,6,6,6,5,6,4,7,7,6,5,7,5,6,6,4,4,3,4
Male,35,rigth hand,7,1,6,7,6,6,7,7,7,7,6,7,6,6,7,6,6,7,7,6,7
Male,32,rigth hand,7,1,6,5,5,5,4,5,5,6,6,6,4,5,6,6,5,6,5,6,5
Female,38,rigth hand,7,1,6,6,5,6,6,6,5,6,6,5,6,6,6,5,5,5,5,5,5
Male,33,rigth hand,7,1,5,7,6,6,5,6,6,6,6,7,6,5,6,5,6,7,6,6,6
Female,40,rigth hand,7,1,7,7,1,2,4,3,2,6,2,5,2,2,5,2,6,6,3,6,3
Male,33,rigth hand,7,1,6,5,5,6,5,6,6,6,6,5,6,5,5,5,6,5,6,5,5
Female,45,rigth hand,7,1,6,6,6,6,6,6,7,6,7,6,6,6,7,6,6,7,6,7,6
Female,51,rigth hand,7,1,7,7,1,7,7,4,6,6,6,7,6,6,3,3,7,7,4,7,5
Female,34,rigth hand,7,1,6,7,1,5,5,2,4,6,5,5,6,3,3,3,3,6,4,4,5
Male,33,rigth hand,7,1,5,6,4,5,4,4,5,5,4,4,5,5,4,5,5,5,4,5,5
Male,33,rigth hand,7,1,5,6,6,6,6,5,6,6,6,5,5,6,6,6,6,6,5,5,5
Male,32,rigth hand,7,1,7,5,1,2,3,4,6,7,3,6,4,3,5,3,4,6,2,2,3
Male,25,rigth hand,7,1,6,2,5,3,5,6,5,6,2,2,3,3,5,3,4,7,2,3,1
Female,45,rigth hand,7,1,5,6,6,6,5,5,6,5,6,5,5,6,6,5,5,6,6,6,6
Female,25,rigth hand,7,1,6,5,5,5,4,6,6,5,6,7,5,7,6,7,6,6,6,5,6
Male,32,rigth hand,7,1,2,2,1,2,2,1,2,1,1,2,3,1,1,2,1,2,2,2,2
Male,35,rigth hand,7,1,7,7,1,5,6,1,4,5,5,5,3,6,6,2,5,5,3,5,2
Male,35,rigth hand,5,1,7,1,7,7,6,7,6,7,6,6,6,6,6,7,7,6,6,7,7
Female,30,rigth hand,7,1,6,7,6,6,7,7,7,7,7,7,7,7,7,6,7,6,7,7,7
Female,25,rigth hand,7,1,6,6,5,4,6,6,5,7,5,5,5,3,6,6,5,5,5,5,6
Female,29,rigth hand,7,1,7,7,1,7,6,3,5,2,5,3,4,6,6,4,6,3,6,7,4
Female,46,rigth hand,7,1,7,7,1,4,5,1,1,5,5,5,6,5,3,1,1,5,1,6,4
Male,33,rigth hand,7,1,6,6,6,6,6,7,6,6,5,7,6,7,6,5,6,4,5,5,5
Male,41,rigth hand,7,1,7,7,1,2,4,4,5,7,4,5,4,2,5,1,4,6,5,5,4
Male,42,rigth hand,5,1,6,7,1,5,5,2,6,5,5,6,3,3,6,3,6,6,5,5,4
Male,30,rigth hand,7,1,7,7,7,7,6,6,7,6,6,6,6,6,6,6,7,6,7,6,7
Male,28,rigth hand,2,3,5,2,4,4,4,7,5,4,3,7,5,3,3,4,3,2,4,6,4
Male,58,rigth hand,7,1,7,7,1,1,1,2,7,7,7,5,1,3,1,2,6,7,1,5,1
Male,35,rigth hand,5,1,7,7,6,6,6,6,6,6,7,7,6,6,6,6,6,6,7,6,7
Male,40,rigth hand,7,1,7,7,7,7,6,5,4,7,5,7,5,6,5,7,7,6,5,6,7
Male,33,rigth hand,7,1,6,4,7,4,5,6,6,4,5,6,6,6,5,5,5,4,6,6,4
Male,34,rigth hand,7,1,7,7,1,7,7,6,7,6,6,6,7,6,7,7,7,7,7,6,6
Male,33,rigth hand,7,1,6,5,6,5,6,5,4,6,6,6,5,6,5,5,6,6,6,6,5
Female,33,rigth hand,7,1,6,6,5,3,6,4,5,3,5,3,3,4,4,5,3,4,6,6,4
Male,33,rigth hand,7,1,5,5,7,4,4,5,4,6,6,5,5,7,4,6,6,6,5,5,6
Male,33,rigth hand,7,1,6,6,6,6,6,6,6,6,6,6,7,7,5,5,6,6,6,6,6
Male,30,rigth hand,7,1,7,5,6,7,7,7,6,7,7,7,6,6,7,7,7,6,7,7,7
Male,39,rigth hand,7,1,6,5,5,5,6,5,6,6,5,6,5,6,6,5,5,6,6,6,6
Female,66,rigth hand,7,1,5,6,5,6,6,6,4,5,6,6,5,6,6,5,6,6,5,6,6
Male,35,rigth hand,7,1,6,6,6,5,6,5,6,5,5,6,6,5,5,5,6,6,5,6,5
Male,33,rigth hand,7,1,5,5,5,6,6,5,6,5,5,6,5,6,5,6,6,5,5,5,6
Male,33,rigth hand,7,1,5,5,5,5,6,4,6,5,6,6,5,5,5,5,6,6,5,6,5
Male,24,rigth hand,7,1,3,5,5,4,6,4,5,2,4,4,5,4,6,6,5,5,4,6,3
Male,24,rigth hand,7,1,5,4,5,4,5,5,5,4,4,4,4,5,5,4,5,4,5,4,5
Male,35,rigth hand,5,1,7,6,6,7,7,6,6,6,6,6,6,6,7,6,6,5,6,7,7
Male,34,rigth hand,7,1,7,7,1,7,7,7,6,6,6,5,7,6,7,6,7,7,6,7,6
Male,24,rigth hand,7,1,5,5,5,5,4,5,4,4,4,5,4,4,4,5,5,5,5,4,5
Male,33,rigth hand,7,1,5,5,5,5,6,6,5,6,5,5,5,6,6,6,6,5,5,6,6
Male,33,rigth hand,7,1,7,6,4,6,6,7,6,6,6,6,6,6,6,6,7,6,7,6,6
Male,38,rigth hand,7,1,5,6,4,4,5,5,4,6,3,5,5,6,4,1,5,4,6,5,4
Male,34,rigth hand,5,1,7,5,6,6,5,7,4,6,6,6,5,6,5,6,4,5,7,7,5
Male,33,rigth hand,7,1,5,6,5,5,6,6,5,5,5,5,5,6,6,6,6,6,5,6,5
Male,33,rigth hand,7,1,7,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6,6
Female,33,rigth hand,7,1,5,5,5,5,5,4,5,5,6,6,5,6,6,4,6,5,5,5,6
Male,36,rigth hand,7,1,5,6,5,5,5,6,5,5,5,6,6,6,5,6,5,4,4,5,4
Male,30,left hand,4,4,3,3,3,3,4,5,4,3,3,7,3,4,4,4,6,4,3,6,3
Male,24,rigth hand,7,1,6,4,4,5,4,5,5,4,4,5,4,5,5,5,4,5,5,5,4
Male,30,rigth hand,5,1,6,6,6,6,6,6,6,6,6,7,6,6,6,6,7,7,7,6,7
Male,25,rigth hand,7,1,5,3,4,4,6,5,5,6,6,4,5,5,6,7,5,5,6,3,6
Male,24,rigth hand,7,1,4,4,5,5,5,4,5,5,6,6,5,5,4,4,4,5,6,6,5
Male,33,rigth hand,7,1,5,5,5,5,6,4,2,3,6,4,6,5,5,4,4,4,5,4,4
Male,24,rigth hand,7,1,6,3,7,5,4,5,6,4,3,4,6,3,6,4,5,5,6,4,6
Male,34,rigth hand,7,1,7,7,1,7,7,6,6,6,7,7,6,6,7,7,6,6,6,7,7
Male,33,rigth hand,7,1,4,7,6,6,6,4,6,6,6,7,7,4,6,4,4,6,5,5,6
Male,25,rigth hand,7,1,4,4,4,6,4,5,6,5,5,4,6,6,5,6,7,4,4,6,5
Male,34,rigth hand,7,1,7,7,1,7,7,6,6,6,6,7,7,7,6,7,5,6,6,7,6
Male,34,rigth hand,7,1,7,7,1,6,5,6,7,6,6,7,6,5,6,6,6,7,7,7,6
Male,33,left hand,7,1,7,5,6,6,6,5,6,5,5,5,6,6,6,5,6,6,6,5,5
Male,32,rigth hand,7,1,5,6,5,6,6,6,5,4,5,5,5,4,5,5,5,5,5,6,5
Female,25,rigth hand,7,1,5,5,4,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5
Male,42,rigth hand,7,1,7,7,1,6,4,6,4,7,6,6,6,7,7,6,6,7,5,7,6
Male,41,rigth hand,7,1,2,6,1,4,2,5,5,5,2,2,2,5,7,1,2,6,6,3,5
Male,32,rigth hand,7,1,6,6,6,6,5,6,5,5,6,5,6,5,5,5,6,5,4,5,5
Male,33,rigth hand,4,1,6,3,3,3,3,5,5,5,2,3,5,3,3,3,5,6,5,4,5
Male,36,rigth hand,7,1,6,6,6,6,6,5,5,5,5,6,5,5,6,4,6,5,6,5,5
Male,31,rigth hand,7,1,6,6,5,6,6,6,5,5,5,4,6,5,5,3,6,5,4,4,4
Male,45,rigth hand,7,1,5,2,6,6,7,6,5,6,7,6,7,1,7,7,7,6,1,5,6
Male,29,rigth hand,7,1,7,4,2,2,4,7,5,6,1,5,6,6,4,1,5,6,2,1,6
Male,38,rigth hand,7,1,6,1,6,6,6,5,5,6,5,6,6,6,6,6,5,5,5,6,4
Male,40,rigth hand,7,1,4,5,4,4,5,4,4,5,3,5,4,4,4,5,4,4,5,4,3
Male,25,rigth hand,7,1,6,7,7,7,6,6,7,7,5,7,6,6,6,6,7,7,7,6,7
Male,38,rigth hand,7,1,7,6,6,7,5,7,7,7,6,6,7,7,7,6,6,6,5,5,5
Female,46,rigth hand,7,1,5,7,4,5,5,4,5,5,6,5,6,4,4,4,4,5,4,4,5
Male,60,rigth hand,7,1,2,5,2,5,6,6,4,6,2,6,4,5,7,7,4,4,4,5,3
Male,33,left hand,7,1,6,6,4,6,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6
Male,33,rigth hand,7,1,6,6,4,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6
Male,35,rigth hand,5,1,6,6,7,7,6,6,5,6,6,7,7,6,7,7,6,6,7,7,7
Male,43,rigth hand,7,1,7,7,1,1,1,1,5,4,1,1,1,1,2,1,5,5,1,1,1
Male,45,rigth hand,7,1,7,7,1,5,4,2,3,6,5,4,2,5,4,3,4,6,3,3,2
Male,32,rigth hand,5,1,6,6,6,5,6,6,6,7,7,6,7,6,6,6,7,7,7,6,6
Female,32,rigth hand,1,6,1,4,4,6,5,4,5,5,4,3,5,3,3,3,4,5,2,4,5
Male,43,rigth hand,7,1,6,6,5,5,5,4,6,6,6,5,5,6,6,6,6,6,5,5,6
Male,41,rigth hand,7,1,6,3,2,5,4,3,4,6,6,4,2,4,3,6,4,3,2,6,2
Male,33,rigth hand,7,1,6,6,4,6,6,6,6,6,4,6,6,6,6,6,5,6,6,6,6
Male,34,rigth hand,7,1,6,6,3,4,4,4,5,5,5,4,5,5,4,4,5,6,5,5,4
Male,45,rigth hand,7,1,5,6,4,4,5,5,6,6,4,6,5,6,5,6,6,5,6,5,4
Male,34,rigth hand,7,1,2,5,5,6,6,6,6,4,5,5,6,4,6,6,6,5,6,6,6
Female,32,rigth hand,7,1,5,6,6,5,6,6,7,5,5,5,6,6,5,6,6,5,5,7,5
Female,35,rigth hand,7,1,5,4,6,6,6,5,2,7,4,5,4,6,5,5,5,5,6,4,5
Male,34,rigth hand,7,1,7,7,1,2,5,2,2,5,4,5,3,2,3,1,4,5,1,6,2
Male,34,rigth hand,7,1,6,5,5,5,5,5,6,6,6,7,5,7,6,4,4,4,6,5,6
Male,30,left hand,5,5,4,4,5,5,4,4,4,5,5,4,4,5,5,5,5,5,5,4,4
Female,25,rigth hand,7,1,7,7,7,4,7,7,6,7,6,5,7,7,4,4,7,7,6,5,6
Male,32,rigth hand,5,5,5,6,5,5,5,6,6,6,6,5,6,5,5,6,6,6,5,6,6
Female,25,rigth hand,7,6,6,6,6,6,6,6,6,6,7,6,7,6,6,7,7,6,6,7,6
Female,25,rigth hand,7,1,6,7,7,7,7,7,7,6,7,6,7,6,6,6,7,6,6,6,7
Female,32,rigth hand,6,6,7,6,6,6,5,6,7,6,6,7,6,5,7,6,7,6,6,6,6
Female,25,rigth hand,7,1,7,6,7,7,7,7,6,6,6,6,7,6,5,7,6,7,6,7,6
Female,25,rigth hand,7,1,7,5,7,7,7,6,5,7,7,7,5,6,5,5,7,5,6,5,7
Female,25,rigth hand,7,1,6,6,5,6,6,4,6,5,6,4,4,4,5,6,6,4,5,4,6
Female,37,rigth hand,7,1,4,4,5,3,6,4,5,4,3,6,3,5,5,2,7,3,5,4,5
Male,30,rigth hand,5,4,4,5,4,5,4,4,5,4,4,4,5,4,4,5,4,4,4,4,4
Female,40,rigth hand,7,1,4,5,2,4,7,6,6,6,5,7,5,6,5,6,7,5,6,7,6
Male,43,rigth hand,7,1,6,7,7,7,7,6,7,6,6,6,7,5,6,6,7,7,5,7,7
Female,25,rigth hand,7,1,7,7,6,7,7,7,7,6,6,6,6,7,7,6,7,6,6,6,7
Female,25,rigth hand,7,1,6,7,6,6,6,7,7,5,7,5,7,7,5,4,6,6,6,7,7
Female,35,left hand,5,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,6,6,7,7,7
Male,28,left hand,5,1,6,5,3,4,4,5,3,3,3,4,3,5,4,4,4,3,5,3,4
Female,25,rigth hand,7,1,6,6,6,6,5,6,6,5,7,7,7,6,7,7,7,7,5,5,7
Male,38,rigth hand,7,1,6,3,3,7,7,6,6,6,6,6,7,6,6,7,6,6,6,5,5
Female,37,rigth hand,7,1,5,3,7,6,5,6,5,6,6,5,4,6,6,6,6,6,6,3,4
Male,32,left hand,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Female,25,rigth hand,7,1,6,5,4,6,5,5,5,5,6,4,7,4,6,6,6,5,3,6,5
Male,32,rigth hand,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Female,25,rigth hand,7,1,6,7,5,5,5,7,6,7,5,7,7,5,6,5,7,5,7,7,5
Female,30,rigth hand,7,1,7,7,7,5,2,3,5,5,3,2,3,3,4,3,5,6,2,4,3
Male,32,rigth hand,7,1,6,6,6,5,6,5,6,6,5,5,5,6,6,6,6,5,5,5,5
Male,30,rigth hand,7,1,6,6,7,6,6,6,7,6,7,6,6,7,7,7,7,7,6,7,6
Female,25,rigth hand,7,1,6,7,7,7,6,6,6,7,7,7,6,6,6,6,6,6,6,7,6
Female,25,rigth hand,7,6,7,6,6,6,7,7,7,7,6,7,7,7,6,7,7,7,6,7,7
Female,34,rigth hand,7,1,5,6,6,7,6,5,6,6,7,5,6,4,6,6,5,6,6,6,5
Female,27,rigth hand,7,1,5,4,7,5,5,5,4,4,5,5,3,5,4,5,4,5,4,5,5
Female,25,rigth hand,7,1,5,7,7,4,7,5,7,5,5,4,7,7,7,6,7,6,7,4,5
Female,25,rigth hand,7,1,7,6,6,7,5,5,7,6,5,5,7,5,7,7,6,5,6,7,7
Male,37,rigth hand,7,1,6,4,5,5,5,5,4,4,4,5,5,3,5,5,3,5,5,5,5
Female,25,rigth hand,7,1,5,5,7,6,7,5,5,7,5,7,6,6,7,7,7,6,5,7,5
Male,33,rigth hand,7,1,4,5,5,4,5,5,5,4,5,5,4,5,5,5,4,5,4,4,4
Female,25,rigth hand,7,1,7,6,7,7,7,6,6,7,6,6,7,7,6,6,7,7,6,6,7
Male,26,rigth hand,7,1,3,6,5,5,4,3,3,3,3,4,4,3,3,3,3,4,3,3,4
Female,25,rigth hand,7,1,4,7,5,7,6,7,5,4,7,7,6,5,5,5,5,7,5,6,5
Female,32,rigth hand,7,1,5,6,5,6,6,6,6,6,4,5,6,5,6,5,6,6,5,5,6
Female,25,rigth hand,7,1,7,5,5,5,6,5,7,5,5,6,7,7,7,5,7,6,6,7,5
Female,35,left hand,7,1,6,6,5,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6
Male,30,rigth hand,7,1,4,7,6,6,6,6,7,6,6,5,6,6,5,6,5,6,5,6,6
Male,33,rigth hand,7,1,6,6,4,5,6,5,5,5,5,4,6,5,6,4,5,4,4,6,6
Female,32,rigth hand,6,6,7,6,6,7,7,6,6,6,6,6,7,6,7,7,7,7,6,6,7
Female,25,rigth hand,7,1,7,6,7,7,7,6,7,6,6,7,7,6,6,6,7,6,7,6,6
Female,29,left hand,7,1,5,4,5,5,5,4,5,4,4,5,6,6,5,4,5,2,3,5,6
Male,32,rigth hand,7,1,5,6,6,6,6,6,6,5,5,6,5,5,5,5,5,6,6,4,6
Male,33,rigth hand,7,1,6,7,1,6,5,4,4,5,5,6,6,6,4,4,5,7,5,5,5
Male,31,rigth hand,7,1,6,4,4,6,5,6,6,4,5,6,6,6,5,6,5,5,4,5,6
Male,33,rigth hand,7,1,7,7,1,7,7,4,6,5,5,6,7,5,7,4,4,7,6,3,6
Female,39,rigth hand,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5
